"mmsi","year","month","hours","kir","post","date"
416003803,2016,10,399.638472222222,FALSE,TRUE,2016-10-01
440751000,2016,10,453.605,FALSE,TRUE,2016-10-01
440733000,2016,10,702.780138888889,FALSE,TRUE,2016-10-01
440584000,2016,10,677.578611111111,FALSE,TRUE,2016-10-01
441811000,2016,10,684.840833333333,FALSE,TRUE,2016-10-01
441251000,2016,10,733.789166666667,FALSE,TRUE,2016-10-01
416004409,2016,10,50.7511111111111,FALSE,TRUE,2016-10-01
440941000,2016,10,609.818194444444,FALSE,TRUE,2016-10-01
440595000,2016,10,550.916666666667,FALSE,TRUE,2016-10-01
440239000,2016,10,108.422083333333,FALSE,TRUE,2016-10-01
441869000,2016,10,235.137083333333,FALSE,TRUE,2016-10-01
432507000,2016,10,204.60625,FALSE,TRUE,2016-10-01
440809000,2016,10,618.143888888889,FALSE,TRUE,2016-10-01
36764000,2016,10,293.661944444444,FALSE,TRUE,2016-10-01
553111744,2016,10,337.118472222222,FALSE,TRUE,2016-10-01
412371179,2016,10,664.964722222222,FALSE,TRUE,2016-10-01
440479000,2016,10,188.570833333333,FALSE,TRUE,2016-10-01
440765000,2016,10,573.289027777778,FALSE,TRUE,2016-10-01
440780000,2016,10,701.159305555556,FALSE,TRUE,2016-10-01
440781000,2016,10,645.077083333333,FALSE,TRUE,2016-10-01
510057000,2016,10,198.131944444444,FALSE,TRUE,2016-10-01
416004565,2016,10,678.952777777778,FALSE,TRUE,2016-10-01
416243700,2016,10,151.429305555556,FALSE,TRUE,2016-10-01
416004552,2016,10,702.289583333333,FALSE,TRUE,2016-10-01
416003803,2016,9,374.856944444444,FALSE,TRUE,2016-09-01
440987000,2016,9,450.755555555556,FALSE,TRUE,2016-09-01
440787000,2016,9,519.533333333333,FALSE,TRUE,2016-09-01
440584000,2016,9,694.422222222222,FALSE,TRUE,2016-09-01
441811000,2016,9,646.493611111111,FALSE,TRUE,2016-09-01
440733000,2016,9,627.875833333333,FALSE,TRUE,2016-09-01
440773000,2016,9,595.145833333333,FALSE,TRUE,2016-09-01
441251000,2016,9,658.583888888889,FALSE,TRUE,2016-09-01
441043000,2016,9,610.706111111111,FALSE,TRUE,2016-09-01
440522000,2016,9,551.577083333333,FALSE,TRUE,2016-09-01
440936000,2016,9,701.431944444445,FALSE,TRUE,2016-09-01
440595000,2016,9,672.448888888889,FALSE,TRUE,2016-09-01
440654000,2016,9,11.2676388888889,FALSE,TRUE,2016-09-01
440703000,2016,9,718.6475,FALSE,TRUE,2016-09-01
440894000,2016,9,685.660833333333,FALSE,TRUE,2016-09-01
440045000,2016,9,606.478888888889,FALSE,TRUE,2016-09-01
441812000,2016,9,697.880277777778,FALSE,TRUE,2016-09-01
440781000,2016,9,533.275972222222,FALSE,TRUE,2016-09-01
440954000,2016,9,690.3725,FALSE,TRUE,2016-09-01
440620000,2016,9,658.106805555556,FALSE,TRUE,2016-09-01
441650000,2016,9,672.174444444445,FALSE,TRUE,2016-09-01
529686000,2016,9,171.647083333333,TRUE,TRUE,2016-09-01
416004566,2016,9,661.509166666667,FALSE,TRUE,2016-09-01
440246000,2016,9,672.655416666667,FALSE,TRUE,2016-09-01
440788000,2016,9,32.7177777777778,FALSE,TRUE,2016-09-01
416004553,2016,9,520.19625,FALSE,TRUE,2016-09-01
224651000,2016,9,29.1673611111111,FALSE,TRUE,2016-09-01
553111761,2016,9,166.918611111111,FALSE,TRUE,2016-09-01
416004507,2016,9,143.756666666667,FALSE,TRUE,2016-09-01
440986000,2016,9,247.678055555556,FALSE,TRUE,2016-09-01
416898000,2016,9,79.9327777777778,FALSE,TRUE,2016-09-01
416003756,2016,10,609.875555555555,FALSE,TRUE,2016-10-01
538060005,2016,10,86.9273611111111,FALSE,TRUE,2016-10-01
538060004,2016,10,131.122916666667,FALSE,TRUE,2016-10-01
440641000,2016,10,574.960694444444,FALSE,TRUE,2016-10-01
735057565,2016,10,89.7680555555556,FALSE,TRUE,2016-10-01
366878000,2016,10,198.547916666667,FALSE,TRUE,2016-10-01
440986000,2016,10,513.340833333333,FALSE,TRUE,2016-10-01
440053000,2016,9,115.832083333333,FALSE,TRUE,2016-09-01
441493000,2016,10,203.992083333333,FALSE,TRUE,2016-10-01
440195000,2016,10,145.138333333333,FALSE,TRUE,2016-10-01
416574000,2016,10,86.8031944444444,FALSE,TRUE,2016-10-01
413224000,2016,10,184.656944444444,FALSE,TRUE,2016-10-01
440952000,2016,10,151.954027777778,FALSE,TRUE,2016-10-01
366878000,2016,9,40.5930555555556,FALSE,TRUE,2016-09-01
512012000,2016,9,214.939444444445,FALSE,TRUE,2016-09-01
440089000,2016,10,0,FALSE,TRUE,2016-10-01
440636000,2016,5,537.175833333333,FALSE,TRUE,2016-05-01
441680000,2016,5,514.155833333333,FALSE,TRUE,2016-05-01
440895000,2016,5,619.454305555555,FALSE,TRUE,2016-05-01
416003756,2016,5,311.211527777778,FALSE,TRUE,2016-05-01
416004566,2016,5,697.5425,FALSE,TRUE,2016-05-01
416000179,2016,5,592.193472222222,FALSE,TRUE,2016-05-01
440617000,2016,5,609.015277777778,FALSE,TRUE,2016-05-01
440604000,2016,5,552.394166666667,FALSE,TRUE,2016-05-01
